time,P,Temp,Voltage
1348.68,28.1,41.3027,1.79199
1348.83,28.42,41.3027,1.79199
1348.99,28.73,41.3027,1.79199
1349.14,28.87,41.3027,1.79199
1349.3,29.1,41.3027,1.79199
1349.45,28.35,41.3027,1.79199
1349.61,28.49,41.4099,1.79199
1349.76,28.87,41.3027,1.79199
1349.91,28.74,41.3027,1.79199
1350.07,27.83,41.3027,1.79199
1350.22,27.74,41.3027,1.79199
1350.38,28.91,41.3027,1.79199
1350.53,28.35,41.3027,1.79199
1350.68,28.26,41.3027,1.79199
1350.84,28.54,41.3027,1.79199
1350.99,28.79,41.3027,1.79199
1351.15,28.47,41.3027,1.79199
1351.3,28.19,41.3027,1.79199
1351.46,28.6,41.3027,1.79199
1351.61,28.85,41.1955,1.79199
1351.76,28.09,41.3027,1.79199
1351.92,27.75,41.3027,1.79199
1352.07,28.22,41.3027,1.79199
1352.23,28.29,41.1955,1.79199
1352.38,28.18,41.3027,1.79199
1352.54,28.33,41.3027,1.79199
1352.69,27.68,41.3027,1.79199
1352.85,28.37,41.1955,1.79199
1353,28.58,41.1955,1.79199
1353.15,28.66,41.3027,1.79199
1353.31,28.28,41.3027,1.79199
1353.46,29.09,41.1955,1.79199
1353.62,28.47,41.3027,1.79199
1353.77,29.22,41.3027,1.79199
1353.92,29.22,41.3027,1.79199
1354.08,27.36,41.3027,1.79199
1354.23,28.47,41.3027,1.79199
1354.39,28.07,41.3027,1.79199
1354.54,28.56,41.1955,1.79199
1354.7,28.39,41.3027,1.79199
1354.85,28.62,41.1955,1.79199
1355.01,28.86,41.3027,1.79199
1355.16,27.75,41.3027,1.79199
1355.32,28.27,41.1955,1.79199
1355.47,28.13,41.3027,1.79199
1355.62,28.5,41.3027,1.79199
1355.78,27.84,41.3027,1.79199
1355.93,28.26,41.1955,1.79199
1356.09,28.29,41.3027,1.79199
1356.24,28.23,41.3027,1.79199
1356.39,29.09,41.1955,1.79199
1356.55,28.55,41.3027,1.79199
1356.7,29.3,41.3027,1.79199
1356.86,27.75,41.1955,1.79199
1357.01,28.92,41.1955,1.79199
1357.17,28.45,41.3027,1.79199
1357.32,28.36,41.3027,1.79199
1357.47,27.59,41.3027,1.79199
1357.63,28.5,41.3027,1.79199
1357.78,28.49,41.1955,1.79199
1357.94,28.18,41.1955,1.79199
1358.09,28.36,41.3027,1.79199
1358.25,28.58,41.3027,1.79199
1358.4,28.47,41.3027,1.79199
1358.56,28.77,41.1955,1.79199
1358.71,28.85,41.1955,1.79199
1358.86,27.83,41.1955,1.79199
1359.02,26.52,41.3027,1.79199
1359.17,28.96,41.3027,1.79199
1359.33,27.76,41.3027,1.79199
1359.48,28.27,41.3027,1.79199
1359.64,27.86,41.3027,1.79199
1359.79,28.81,41.1955,1.79199
1359.94,28.93,41.1955,1.79199
1360.1,28.11,41.1955,1.79199
1360.25,28.52,41.3027,1.79199
1360.41,27.86,41.1955,1.79199
1360.56,28.46,41.1955,1.79199
1360.72,27.91,41.1955,1.79199
1360.87,27.96,41.3027,1.79199
1361.03,28.38,41.1955,1.79199
1361.18,28.72,41.3027,1.79199
1361.33,29.13,41.1955,1.79199
1361.49,29.18,41.1955,1.79199
1361.64,29.08,41.1955,1.79199
1361.8,28.71,41.3027,1.79199
1361.95,28.08,41.1955,1.79199
1362.11,28.42,41.1955,1.79199
1362.26,28.25,41.1955,1.79199
1362.41,28.92,41.1955,1.79199
1362.57,28.57,41.1955,1.79199
1362.72,28.28,41.1955,1.79199
1362.88,27.41,41.1955,1.79199
1363.03,28.88,41.1955,1.79199
1363.18,28.01,41.1955,1.79199
1363.34,27.69,41.3027,1.79199
1363.49,28.18,41.1955,1.79199
1363.65,28.98,41.1955,1.79199
1363.8,29.35,41.1955,1.79199
1363.96,28.48,41.3027,1.79199
1364.11,28.89,41.3027,1.79199
1364.27,28.7,41.1955,1.79199
1364.42,28.64,41.1955,1.79199
1364.57,27.82,41.1955,1.79199
1364.73,27.72,41.1955,1.79199
1364.88,28.53,41.1955,1.79199
1365.04,28.27,41.1955,1.79199
1365.19,29.17,41.3027,1.79199
1365.35,28.69,41.3027,1.79199
1365.5,28.63,41.1955,1.79199
1365.65,28.65,41.3027,1.79199
1365.81,28.77,41.1955,1.79199
1365.96,27.8,41.1955,1.79199
1366.12,28.69,41.3027,1.79688
1366.27,29.19,41.1955,1.79199
1366.43,27.66,41.1955,1.79199
1366.58,28.01,41.3027,1.79199
1366.73,28.23,41.1955,1.79199
1366.89,27.57,41.1955,1.79199
1367.04,28.23,41.3027,1.79199
1367.2,27.94,41.3027,1.79199
1367.35,27.99,41.1955,1.79199
1367.51,28.3,41.1955,1.79199
1367.66,28.26,41.3027,1.79199
1367.82,28.61,41.1955,1.79199
1367.97,29.01,41.1955,1.79199
1368.12,27.81,41.1955,1.79199
1368.28,28.16,41.1955,1.79199
1368.43,28.12,41.1955,1.79199
1368.59,27.36,41.1955,1.79199
1368.74,28.73,41.1955,1.79199
1368.89,27.97,41.1955,1.79199
1369.05,28.07,41.1955,1.79199
1369.2,28.72,41.1955,1.79199
1369.36,28.8,41.1955,1.79199
1369.51,28.72,41.1955,1.79199
1369.67,28.17,41.1955,1.79199
1369.82,28.72,41.1955,1.79199
1369.97,29.11,41.3027,1.79199
1370.13,27.92,41.1955,1.79199
1370.28,28.74,41.3027,1.79199
1370.44,28.38,41.1955,1.79199
1370.59,28.43,41.1955,1.79199
1370.75,28.31,41.1955,1.79199
1370.9,28.06,41.3027,1.79199
1371.06,28.63,41.1955,1.79199
1371.21,28.31,41.1955,1.79199
1371.36,28.94,41.1955,1.79199
1371.52,29.03,41.1955,1.79199
1371.67,28.98,41.3027,1.79199
1371.83,28.87,41.3027,1.79199
1371.98,28.14,41.1955,1.79199
1372.14,28.19,41.3027,1.79199
